-,LVG,LVP,LHG,LHP,FVG,FVP,FHG,FHP
LVG,,,,,,,,
LVP,,,,,,,,
LHG,,,,,,,,
LHP,,,,,,,,
FVG,,,,,,,,
FVP,,,,,,,,
FHG,,,,,,,,
FHP,,,,,,,,
